GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data,au.com.realestate.data.route,RouteRepositoryImpl.getNorthComingTrams.new Function() {...},0,32,0,0,0,5,0,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.getSouthComingTrams.new Function() {...},0,32,0,0,0,5,0,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.getNorthComingTrams.1.new Function() {...},0,10,0,0,0,1,0,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.getNorthComingTrams.1.new Function() {...},1,56,1,3,0,13,1,2,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.getToken.new Function0() {...},0,5,0,0,0,1,0,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.fetchToken.new Function() {...},2,31,2,2,0,3,2,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.fetchToken.new Function() {...},0,9,0,0,0,1,0,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.getSouthComingTrams.1.new Function() {...},1,56,1,3,0,13,1,2,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl.getSouthComingTrams.1.new Function() {...},0,10,0,0,0,1,0,1,0,1
data,au.com.realestate.data.route,RouteRepositoryImpl,0,107,0,0,0,12,0,5,0,5
data,au.com.realestate.data,ApiConfigsImpl,0,7,0,0,0,3,0,3,0,3
data,au.com.realestate.data,HttpExceptionDefiner,12,30,1,5,2,7,1,4,0,2
data,au.com.realestate.data,HttpExceptionDefiner.HttpException.TramTrackerException,3,7,0,0,0,1,1,1,1,1
